,date,game_number,team,passing_yards,rushing_yards
440,2016-12-18,14,PHI,170,169
441,2016-12-18,14,PIT,286,97
442,2016-12-18,14,SDG,206,73
443,2016-12-18,14,SF,183,107
444,2016-12-18,14,TB,247,52
445,2016-12-18,14,TEN,241,148
446,2016-12-19,14,CAR,300,148
447,2016-12-19,14,WAS,315,29
448,2016-12-22,15,NYG,356,114
449,2016-12-22,15,PHI,168,118
450,2016-12-24,15,ARI,284,94
451,2016-12-24,15,ATL,277,152
452,2016-12-24,15,BUF,329,272
453,2016-12-24,15,CAR,198,119
454,2016-12-24,15,CHI,323,140
455,2016-12-24,15,CIN,268,50
456,2016-12-24,15,CLE,175,124
457,2016-12-24,15,GB,347,40
458,2016-12-24,15,HOU,176,95
459,2016-12-24,15,IND,288,102
460,2016-12-24,15,JAX,345,84
461,2016-12-24,15,LAR,90,99
462,2016-12-24,15,MIA,233,261
463,2016-12-24,15,MIN,382,93
464,2016-12-24,15,NO,299,123
465,2016-12-24,15,NE,220,114
466,2016-12-24,15,NYJ,136,111
467,2016-12-24,15,OAK,261,210
468,2016-12-24,15,SDG,322,34
469,2016-12-24,15,SEA,350,78
470,2016-12-24,15,SF,266,70
471,2016-12-24,15,TB,277,89
472,2016-12-24,15,TEN,223,58
473,2016-12-24,15,WAS,270,208
474,2016-12-25,15,BAL,262,122
475,2016-12-25,15,DEN,183,63
476,2016-12-25,15,KC,246,238
477,2016-12-25,15,PIT,279,127
478,2016-12-26,15,DAL,222,164
479,2016-12-26,15,DET,260,90
480,2017-01-01,16,ARI,263,84
481,2017-01-01,16,ATL,331,142
482,2017-01-01,16,BAL,279,72
483,2017-01-01,16,BUF,182,68
484,2017-01-01,16,CAR,237,128
485,2017-01-01,16,CHI,149,183
486,2017-01-01,16,CIN,226,153
487,2017-01-01,16,CLE,232,231
488,2017-01-01,16,DAL,151,69
489,2017-01-01,16,DEN,206,143
490,2017-01-01,16,DET,347,76
491,2017-01-01,16,GB,300,153
492,2017-01-01,16,HOU,278,46
493,2017-01-01,16,IND,321,94
494,2017-01-01,16,JAX,301,182
495,2017-01-01,16,KC,264,103
496,2017-01-01,16,LAR,143,52
497,2017-01-01,16,MIA,205,75
498,2017-01-01,16,MIN,250,124
499,2017-01-01,16,NO,350,132
500,2017-01-01,16,NE,276,120
501,2017-01-01,16,NYG,180,161
502,2017-01-01,16,NYJ,210,127
503,2017-01-01,16,OAK,171,57
504,2017-01-01,16,PHI,245,114
505,2017-01-01,16,PIT,277,69
506,2017-01-01,16,SDG,269,129
507,2017-01-01,16,SEA,300,87
508,2017-01-01,16,SF,215,62
509,2017-01-01,16,TB,202,112
510,2017-01-01,16,TEN,150,103
511,2017-01-01,16,WAS,287,38
