,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,date,game_number,team_y,passing_yards,rushing_yards
176,2016-10-16,2016,6,PHI,20.0,27.0,-7.0,WAS,PHI2016-10-16,2016-10-16,5,PHI,179,94
177,2016-10-16,2016,6,PIT,15.0,30.0,-15.0,MIA,PIT2016-10-16,2016-10-16,6,PIT,189,128
178,2016-10-16,2016,6,SEA,26.0,24.0,2.0,SEA,SEA2016-10-16,2016-10-16,5,SEA,270,72
179,2016-10-16,2016,6,SF,16.0,45.0,-29.0,BUF,SF2016-10-16,2016-10-16,6,SF,187,133
180,2016-10-16,2016,6,TEN,28.0,26.0,2.0,TEN,TEN2016-10-16,2016-10-16,6,TEN,284,137
181,2016-10-16,2016,6,WAS,27.0,20.0,7.0,WAS,WAS2016-10-16,2016-10-16,6,WAS,263,230
182,2016-10-17,2016,6,ARI,28.0,3.0,25.0,ARI,ARI2016-10-17,2016-10-17,6,ARI,225,171
183,2016-10-17,2016,6,NYJ,3.0,28.0,-25.0,ARI,NYJ2016-10-17,2016-10-17,6,NYJ,205,33
184,2016-10-20,2016,7,CHI,10.0,26.0,-16.0,GB,CHI2016-10-20,2016-10-20,7,CHI,130,69
185,2016-10-20,2016,7,GB,26.0,10.0,16.0,GB,GB2016-10-20,2016-10-20,6,GB,326,103
186,2016-10-23,2016,7,ARI,6.0,6.0,0.0,ARI,ARI2016-10-23,2016-10-23,7,ARI,342,132
187,2016-10-23,2016,7,ATL,30.0,33.0,-3.0,ATL,ATL2016-10-23,2016-10-23,7,ATL,273,130
188,2016-10-23,2016,7,BAL,16.0,24.0,-8.0,NYJ,BAL2016-10-23,2016-10-23,7,BAL,248,11
189,2016-10-23,2016,7,BUF,25.0,28.0,-3.0,MIA,BUF2016-10-23,2016-10-23,7,BUF,221,67
190,2016-10-23,2016,7,CIN,31.0,17.0,14.0,CIN,CIN2016-10-23,2016-10-23,7,CIN,308,271
191,2016-10-23,2016,7,CLE,17.0,31.0,-14.0,CIN,CLE2016-10-23,2016-10-23,7,CLE,182,180
192,2016-10-23,2016,7,DET,20.0,17.0,3.0,DET,DET2016-10-23,2016-10-23,7,DET,266,94
193,2016-10-23,2016,7,IND,34.0,26.0,8.0,TEN,IND2016-10-23,2016-10-23,7,IND,353,81
