,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,game_number,team_y,passing_yards,rushing_yards
177,2016-10-30,2016,8,DAL,29.0,23.0,6.0,DAL,2016DAL8,8,DAL,255,168
178,2016-10-30,2016,8,DEN,27.0,19.0,8.0,DEN,2016DEN8,8,DEN,276,57
179,2016-10-30,2016,8,DET,13.0,20.0,-7.0,HOU,2016DET8,8,DET,240,58
180,2016-10-30,2016,8,HOU,20.0,13.0,7.0,HOU,2016HOU8,8,HOU,186,105
181,2016-10-30,2016,8,IND,14.0,30.0,-16.0,IND,2016IND8,8,IND,210,105
182,2016-10-30,2016,8,NYJ,31.0,28.0,3.0,CLE,2016NYJ8,8,NYJ,228,171
183,2016-10-30,2016,8,OAK,30.0,24.0,6.0,TB,2016OAK8,8,OAK,513,128
184,2016-10-30,2016,8,PHI,23.0,29.0,-6.0,DAL,2016PHI8,8,PHI,364,96
185,2016-10-30,2016,8,SEA,20.0,25.0,-5.0,NO,2016SEA8,8,SEA,282,33
186,2016-10-30,2016,8,WAS,27.0,27.0,0.0,CIN,2016WAS8,8,WAS,458,100
187,2016-10-31,2016,8,CHI,20.0,10.0,10.0,CHI,2016CHI8,8,CHI,252,158
188,2016-10-31,2016,8,MIN,10.0,20.0,-10.0,CHI,2016MIN8,8,MIN,273,78
189,2016-11-03,2016,9,ATL,43.0,28.0,15.0,TB,2016ATL9,9,ATL,344,136
190,2016-11-06,2016,9,BAL,21.0,14.0,7.0,BAL,2016BAL9,9,BAL,296,119
191,2016-11-06,2016,9,CAR,13.0,10.0,3.0,LAR,2016CAR9,9,CAR,261,99
192,2016-11-06,2016,9,CLE,10.0,35.0,-25.0,CLE,2016CLE9,9,CLE,203,45
193,2016-11-06,2016,9,DAL,35.0,10.0,25.0,CLE,2016DAL9,9,DAL,319,127
194,2016-11-06,2016,9,DEN,20.0,30.0,-10.0,OAK,2016DEN9,9,DEN,283,33
195,2016-11-06,2016,9,DET,22.0,16.0,6.0,MIN,2016DET9,9,DET,219,97
196,2016-11-06,2016,9,IND,31.0,26.0,5.0,GB,2016IND9,9,IND,281,85
197,2016-11-06,2016,9,JAX,14.0,19.0,-5.0,KC,2016JAX9,9,JAX,265,80
198,2016-11-06,2016,9,LAR,10.0,13.0,-3.0,LAR,2016LAR9,9,LAR,165,125
199,2016-11-06,2016,9,MIA,27.0,23.0,4.0,MIA,2016MIA9,9,MIA,240,106
200,2016-11-06,2016,9,MIN,16.0,22.0,-6.0,MIN,2016MIN9,9,MIN,307,47
201,2016-11-06,2016,9,NYG,28.0,23.0,5.0,NYG,2016NYG9,9,NYG,240,122
202,2016-11-06,2016,9,NYJ,23.0,27.0,-4.0,MIA,2016NYJ9,9,NYJ,213,140
203,2016-11-06,2016,9,OAK,30.0,20.0,10.0,OAK,2016OAK9,9,OAK,184,218
204,2016-11-06,2016,9,PHI,23.0,28.0,-5.0,NYG,2016PHI9,9,PHI,231,208
205,2016-11-06,2016,9,PIT,14.0,21.0,-7.0,BAL,2016PIT9,9,PIT,408,48
206,2016-11-06,2016,9,TEN,35.0,43.0,-8.0,LAC,2016TEN9,9,TEN,313,80
207,2016-11-07,2016,9,BUF,25.0,31.0,-6.0,SEA,2016BUF9,9,BUF,289,162
